CLASS,PROPERTY,DATA TYPE,LABEL(S),COMMENT(S)
PLAN,wasAttributedTo,AGENT,,Attribution is the ascribing of an entity to an agent. https://www.w3.org/TR/prov-dm/#concept-attribution
PLAN,wasDerivedFrom,ENTITY,,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity."
PLAN,wasGeneratedBy,ACTIVITY,,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation.
PLAN,wasImpactedBy,ENTITY,,"Indicates that an entity materially affected another entity, and changing the former might affect or invalidate the latter."
PLAN,wasRevisionOf,ENTITY,,Indicates a direct line of primary descendancy from one entity to a derivative entity.
PROCEDURE,,,,"A PROCEDURE presents an ordered series of steps to perform a process, activity, or task"
PROCEDURE,approvalAuthority (SHARED PROPERTY),AGENT,,AGENT responsible for approving a document. (SHARED PROPERTY)
PROCEDURE,dateOfIssue (SHARED PROPERTY),date,,Release date for the document. (SHARED PROPERTY)
PROCEDURE,issuingOrganization (SHARED PROPERTY),AGENT,,AGENT responsible for producing a document. (SHARED PROPERTY)
PROCEDURE,status (SHARED PROPERTY),DOC_STATUS,,"Identifies the maturity of the document, In_Development, Released, Withdrawn. (SHARED PROPERTY)"
PROCEDURE,fileParent,FILE,,The file an ENTITY is defined in
PROCEDURE,content,ENTITY,,"A collection is an entity that provides a structure to some constituents, which are themselves entities. These constituents are said to be member of the collections."
PROCEDURE,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
PROCEDURE,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
PROCEDURE,generatedAtTime,dateTime,,The time this entity was created and available for use
PROCEDURE,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
PROCEDURE,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
PROCEDURE,title,string,,"A short, human-readable identifying label."
PROCEDURE,wasAttributedTo,AGENT,,Attribution is the ascribing of an entity to an agent. https://www.w3.org/TR/prov-dm/#concept-attribution
PROCEDURE,wasDerivedFrom,ENTITY,,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity."
PROCEDURE,wasGeneratedBy,ACTIVITY,,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation.
PROCEDURE,wasImpactedBy,ENTITY,,"Indicates that an entity materially affected another entity, and changing the former might affect or invalidate the latter."
PROCEDURE,wasRevisionOf,ENTITY,,Indicates a direct line of primary descendancy from one entity to a derivative entity.
REPORT,,,,"A REPORT describes the results of activities such as investigations, observations, assessments, or test."
REPORT,dateOfIssue (SHARED PROPERTY),date,,Release date for the document. (SHARED PROPERTY)
REPORT,issuingOrganization (SHARED PROPERTY),AGENT,,AGENT responsible for producing a document. (SHARED PROPERTY)
REPORT,status (SHARED PROPERTY),DOC_STATUS,,"Identifies the maturity of the document, In_Development, Released, Withdrawn. (SHARED PROPERTY)"
REPORT,fileParent,FILE,,The file an ENTITY is defined in
REPORT,content,ENTITY,,"A collection is an entity that provides a structure to some constituents, which are themselves entities. These constituents are said to be member of the collections."
REPORT,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
REPORT,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
REPORT,generatedAtTime,dateTime,,The time this entity was created and available for use
REPORT,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
REPORT,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
REPORT,title,string,,"A short, human-readable identifying label."
REPORT,wasAttributedTo,AGENT,,Attribution is the ascribing of an entity to an agent. https://www.w3.org/TR/prov-dm/#concept-attribution
REPORT,wasDerivedFrom,ENTITY,,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity."
REPORT,wasGeneratedBy,ACTIVITY,,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation.
REPORT,wasImpactedBy,ENTITY,,"Indicates that an entity materially affected another entity, and changing the former might affect or invalidate the latter."
REPORT,wasRevisionOf,ENTITY,,Indicates a direct line of primary descendancy from one entity to a derivative entity.
REQUEST,,,,A REQUEST initiates a defined course of action or changed to fulfill a need.
REQUEST,dateOfInitiation,date,,
REQUEST,originatorOfRequest,AGENT,,
REQUEST,status (SHARED PROPERTY),DOC_STATUS,,"Identifies the maturity of the document, In_Development, Released, Withdrawn. (SHARED PROPERTY)"
REQUEST,fileParent,FILE,,The file an ENTITY is defined in
REQUEST,content,ENTITY,,"A collection is an entity that provides a structure to some constituents, which are themselves entities. These constituents are said to be member of the collections."
REQUEST,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
REQUEST,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
REQUEST,generatedAtTime,dateTime,,The time this entity was created and available for use
REQUEST,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
REQUEST,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
REQUEST,title,string,,"A short, human-readable identifying label."
REQUEST,wasAttributedTo,AGENT,,Attribution is the ascribing of an entity to an agent. https://www.w3.org/TR/prov-dm/#concept-attribution
REQUEST,wasDerivedFrom,ENTITY,,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity."
REQUEST,wasGeneratedBy,ACTIVITY,,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation.
REQUEST,wasImpactedBy,ENTITY,,"Indicates that an entity materially affected another entity, and changing the former might affect or invalidate the latter."
REQUEST,wasRevisionOf,ENTITY,,Indicates a direct line of primary descendancy from one entity to a derivative entity.
SECTION,,,,A SECTION is generic grouping of ENTITYs with a document
SECTION,fileParent,FILE,,The file an ENTITY is defined in
SECTION,content,ENTITY,,"A collection is an entity that provides a structure to some constituents, which are themselves entities. These constituents are said to be member of the collections."
SECTION,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
SECTION,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
SECTION,generatedAtTime,dateTime,,The time this entity was created and available for use
SECTION,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
SECTION,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
SECTION,title,string,,"A short, human-readable identifying label."
SECTION,wasAttributedTo,AGENT,,Attribution is the ascribing of an entity to an agent. https://www.w3.org/TR/prov-dm/#concept-attribution
SECTION,wasDerivedFrom,ENTITY,,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity."
SECTION,wasGeneratedBy,ACTIVITY,,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation.
SECTION,wasImpactedBy,ENTITY,,"Indicates that an entity materially affected another entity, and changing the former might affect or invalidate the latter."
SECTION,wasRevisionOf,ENTITY,,Indicates a direct line of primary descendancy from one entity to a derivative entity.
SPECIFICATION,,,,"A SPECIFICATION identifies, in a complete, precise, and verifiable manner, the requirements, design, behavior, or other expected characteristics of a system, service or process."
SPECIFICATION,approvalAuthority (SHARED PROPERTY),AGENT,,AGENT responsible for approving a document. (SHARED PROPERTY)
SPECIFICATION,dateOfIssue (SHARED PROPERTY),date,,Release date for the document. (SHARED PROPERTY)
SPECIFICATION,issuingOrganization (SHARED PROPERTY),AGENT,,AGENT responsible for producing a document. (SHARED PROPERTY)
SPECIFICATION,references (SHARED PROPERTY),ENTITY,,Source Materials used in the development of a document. (SHARED PROPERTY)
SPECIFICATION,status (SHARED PROPERTY),DOC_STATUS,,"Identifies the maturity of the document, In_Development, Released, Withdrawn. (SHARED PROPERTY)"
SPECIFICATION,fileParent,FILE,,The file an ENTITY is defined in
SPECIFICATION,content,ENTITY,,"A collection is an entity that provides a structure to some constituents, which are themselves entities. These constituents are said to be member of the collections."
SPECIFICATION,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
SPECIFICATION,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
SPECIFICATION,generatedAtTime,dateTime,,The time this entity was created and available for use
SPECIFICATION,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
SPECIFICATION,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
SPECIFICATION,title,string,,"A short, human-readable identifying label."
SPECIFICATION,wasAttributedTo,AGENT,,Attribution is the ascribing of an entity to an agent. https://www.w3.org/TR/prov-dm/#concept-attribution
SPECIFICATION,wasDerivedFrom,ENTITY,,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity."
SPECIFICATION,wasGeneratedBy,ACTIVITY,,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation.
SPECIFICATION,wasImpactedBy,ENTITY,,"Indicates that an entity materially affected another entity, and changing the former might affect or invalidate the latter."
SPECIFICATION,wasRevisionOf,ENTITY,,Indicates a direct line of primary descendancy from one entity to a derivative entity.
FILE,,,,A file in the system
FILE,createBy,FILE_CREATION,,FILE_CREATION ACTIVITY that created this file
FILE,fileFormat,FORMAT,,The byte-level encoding of a file
FILE,fileHash,FILE_HASH,,Hash of the file contents
FILE,fileParent,FILE,,The file an ENTITY is defined in
FILE,filename,string,,A logical file path relative to the container of the file.
FILE,satisfies,ENTITY,,ENTITY(s) (e.g. REQUIREMENT) that this code file participates in satisfying
FILE,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
FILE,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
FILE,generatedAtTime,dateTime,,The time this entity was created and available for use
FILE,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
FILE,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
FILE,title,string,,"A short, human-readable identifying label."
FILE,wasAttributedTo,AGENT,,Attribution is the ascribing of an entity to an agent. https://www.w3.org/TR/prov-dm/#concept-attribution
FILE,wasDerivedFrom,ENTITY,,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity."
FILE,wasGeneratedBy,ACTIVITY,,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation.
FILE,wasImpactedBy,ENTITY,,"Indicates that an entity materially affected another entity, and changing the former might affect or invalidate the latter."
FILE,wasRevisionOf,ENTITY,,Indicates a direct line of primary descendancy from one entity to a derivative entity.
FILE_CREATION,,,,An ACTIVITY that produces a FILE
FILE_CREATION,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
FILE_CREATION,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
FILE_CREATION,endedAtTime,dateTime,,The time an activity was ended
FILE_CREATION,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
FILE_CREATION,startedAtTime,dateTime,,The time an activity was started
FILE_CREATION,title,string,,"A short, human-readable identifying label."
FILE_CREATION,used,ENTITY,,"Usage is the beginning of utilizing an entity by an activity. Before usage, the activity had not begun to utilize this entity and could not have been affected by the entity. (Note: This definition is formulated for a given usage; it is permitted for an activity to have used a same entity multiple times.)"
FILE_CREATION,wasAssociatedWith,AGENT,,"An activity association is an assignment of responsibility to an agent for an activity, indicating that the agent had a role in the activity. It further allows for a plan to be specified, which is the plan intended by the agent to achieve some goals in the context of this activity."
FILE_CREATION,wasInformedBy,ACTIVITY,,"a Communication, the exchange of some unspecified entity by two activities, one activity using some entity generated by the other."
FILE_HASH,,,,A hash identifying a FILE
FILE_HASH,hashType,HASH_TYPE,,
FILE_HASH,hashValue,string,,
FILE_HASH,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
FILE_HASH,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
FILE_HASH,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
FILE_HASH,title,string,,"A short, human-readable identifying label."
FORMAT,,,,The data format of a FILE
FORMAT,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
FORMAT,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
FORMAT,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
FORMAT,title,string,,"A short, human-readable identifying label."
HASH_TYPE,,"enumeration: [http://arcos.rack/FILE#MD5, http://arcos.rack/FILE#SHA1, http://arcos.rack/FILE#SHA2_256, http://arcos.rack/FILE#SHA2_512]",,A type of cryptographic hash
HASH_TYPE,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
HASH_TYPE,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
HASH_TYPE,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
HASH_TYPE,title,string,,"A short, human-readable identifying label."
HAZARD,,,,"HAZARD as identified by some HAZARD_IDENTIFICATION ACTIVITY, to be assessed for certification"
HAZARD,fileParent,FILE,,The file an ENTITY is defined in
HAZARD,definition,string,,Description of the HAZARD
HAZARD,effect,string,,consequence(s) of the HAZARD
HAZARD,identified,HAZARD_IDENTIFICATION,,how this HAZARD was identified
HAZARD,likelihood,float,,the likelihood of the HAZARD happening
HAZARD,severity,float,,the severity of the HAZARD
