identifier,wasImpactedBy_identifier
CAPEC-132,CWE-59
CAPEC-133,CWE-912
CAPEC-134,CWE-150
CAPEC-135,CWE-134
CAPEC-135,CWE-20
CAPEC-135,CWE-74
CAPEC-136,CWE-77
CAPEC-136,CWE-90
CAPEC-136,CWE-20
CAPEC-137,CWE-88
CAPEC-139,CWE-23
CAPEC-14,CWE-120
CAPEC-14,CWE-353
CAPEC-14,CWE-118
CAPEC-14,CWE-119
CAPEC-14,CWE-74
CAPEC-14,CWE-20
CAPEC-14,CWE-680
CAPEC-14,CWE-697
CAPEC-140,CWE-372
CAPEC-141,CWE-348
CAPEC-141,CWE-345
CAPEC-141,CWE-349
CAPEC-141,CWE-346
CAPEC-141,CWE-441
CAPEC-142,CWE-348
CAPEC-142,CWE-345
CAPEC-142,CWE-349
CAPEC-142,CWE-346
CAPEC-142,CWE-441
CAPEC-142,CWE-350
CAPEC-145,CWE-354
CAPEC-146,CWE-15
CAPEC-146,CWE-472
CAPEC-147,CWE-400
CAPEC-147,CWE-770
CAPEC-148,CWE-345
CAPEC-15,CWE-146
CAPEC-15,CWE-77
CAPEC-15,CWE-184
CAPEC-15,CWE-78
CAPEC-15,CWE-185
CAPEC-15,CWE-93
CAPEC-15,CWE-140
CAPEC-15,CWE-157
CAPEC-15,CWE-138
CAPEC-15,CWE-154
CAPEC-15,CWE-697
CAPEC-150,CWE-552
CAPEC-150,CWE-1239
CAPEC-150,CWE-1258
CAPEC-150,CWE-1266
CAPEC-150,CWE-1272
CAPEC-150,CWE-1323
CAPEC-150,CWE-1324
CAPEC-150,CWE-1330
CAPEC-151,CWE-287
CAPEC-153,CWE-20
CAPEC-155,CWE-377
CAPEC-157,CWE-311
CAPEC-158,CWE-311
CAPEC-159,CWE-706
CAPEC-16,CWE-521
CAPEC-16,CWE-262
CAPEC-16,CWE-263
CAPEC-16,CWE-654
CAPEC-16,CWE-307
CAPEC-16,CWE-308
CAPEC-16,CWE-309
CAPEC-160,CWE-346
CAPEC-162,CWE-602
CAPEC-166,CWE-306
CAPEC-166,CWE-1221
CAPEC-166,CWE-1232
CAPEC-167,CWE-1323
CAPEC-167,CWE-1324
CAPEC-168,CWE-212
CAPEC-168,CWE-69
CAPEC-169,CWE-200
CAPEC-17,CWE-732
CAPEC-17,CWE-285
CAPEC-17,CWE-272
CAPEC-17,CWE-59
CAPEC-17,CWE-282
CAPEC-17,CWE-270
CAPEC-17,CWE-693
CAPEC-170,CWE-497
CAPEC-174,CWE-88
CAPEC-175,CWE-829
CAPEC-176,CWE-15
CAPEC-176,CWE-1233
CAPEC-176,CWE-1234
CAPEC-176,CWE-1304
CAPEC-176,CWE-1328
CAPEC-177,CWE-706
CAPEC-18,CWE-80
CAPEC-180,CWE-732
CAPEC-180,CWE-1190
CAPEC-180,CWE-1193
CAPEC-180,CWE-1220
CAPEC-180,CWE-1268
CAPEC-180,CWE-1280
CAPEC-180,CWE-1297
CAPEC-180,CWE-1311
CAPEC-180,CWE-1315
CAPEC-180,CWE-1318
CAPEC-180,CWE-1320
CAPEC-180,CWE-1321
CAPEC-181,CWE-1021
CAPEC-182,CWE-20
CAPEC-182,CWE-184
CAPEC-182,CWE-697
CAPEC-183,CWE-77
CAPEC-184,CWE-494
CAPEC-185,CWE-494
CAPEC-186,CWE-494
CAPEC-187,CWE-494
CAPEC-189,CWE-203
CAPEC-189,CWE-1255
CAPEC-189,CWE-1300
CAPEC-19,CWE-284
CAPEC-190,CWE-912
CAPEC-191,CWE-798
CAPEC-192,CWE-326
CAPEC-193,CWE-98
CAPEC-193,CWE-80
CAPEC-194,CWE-287
CAPEC-196,CWE-384
CAPEC-196,CWE-664
CAPEC-197,CWE-770
CAPEC-197,CWE-776
CAPEC-198,CWE-81
CAPEC-199,CWE-87
CAPEC-2,CWE-645
CAPEC-20,CWE-326
CAPEC-20,CWE-327
CAPEC-20,CWE-693
CAPEC-20,CWE-1204
CAPEC-201,CWE-829
CAPEC-202,CWE-602
CAPEC-203,CWE-15
CAPEC-204,CWE-524
CAPEC-204,CWE-311
CAPEC-204,CWE-1239
CAPEC-204,CWE-1258
CAPEC-206,CWE-732
CAPEC-207,CWE-602
CAPEC-208,CWE-602
CAPEC-209,CWE-79
CAPEC-209,CWE-20
CAPEC-209,CWE-646
CAPEC-21,CWE-290
CAPEC-21,CWE-302
CAPEC-21,CWE-346
CAPEC-21,CWE-539
CAPEC-21,CWE-6
CAPEC-21,CWE-384
CAPEC-21,CWE-664
CAPEC-21,CWE-602
CAPEC-21,CWE-642
CAPEC-212,CWE-1242
CAPEC-212,CWE-1246
CAPEC-212,CWE-1281
CAPEC-215,CWE-209
CAPEC-215,CWE-532
CAPEC-217,CWE-201
CAPEC-218,CWE-345
CAPEC-219,CWE-441
CAPEC-219,CWE-610
CAPEC-22,CWE-290
CAPEC-22,CWE-287
CAPEC-22,CWE-20
CAPEC-22,CWE-200
CAPEC-22,CWE-693
CAPEC-220,CWE-757
CAPEC-221,CWE-611
CAPEC-222,CWE-1021
CAPEC-224,CWE-200
CAPEC-226,CWE-565
CAPEC-226,CWE-472
CAPEC-228,CWE-829
CAPEC-229,CWE-770
CAPEC-23,CWE-20
CAPEC-230,CWE-112
CAPEC-230,CWE-20
CAPEC-230,CWE-674
CAPEC-230,CWE-770
CAPEC-231,CWE-112
CAPEC-231,CWE-20
CAPEC-231,CWE-674
CAPEC-231,CWE-770
CAPEC-233,CWE-269
CAPEC-233,CWE-1264
CAPEC-233,CWE-1311
CAPEC-234,CWE-732
CAPEC-234,CWE-648
CAPEC-237,CWE-693
CAPEC-24,CWE-120
CAPEC-24,CWE-119
CAPEC-24,CWE-118
CAPEC-24,CWE-74
CAPEC-24,CWE-20
CAPEC-24,CWE-680
CAPEC-24,CWE-733
CAPEC-24,CWE-697
CAPEC-240,CWE-99
CAPEC-242,CWE-94
CAPEC-243,CWE-83
CAPEC-244,CWE-83
CAPEC-245,CWE-85
CAPEC-247,CWE-86
CAPEC-248,CWE-77
CAPEC-25,CWE-412
CAPEC-25,CWE-567
CAPEC-25,CWE-662
CAPEC-25,CWE-667
CAPEC-25,CWE-833
CAPEC-25,CWE-1322
CAPEC-250,CWE-91
CAPEC-250,CWE-74
CAPEC-250,CWE-20
CAPEC-250,CWE-707
CAPEC-251,CWE-829
CAPEC-252,CWE-829
CAPEC-253,CWE-829
CAPEC-256,CWE-805
CAPEC-26,CWE-368
CAPEC-26,CWE-363
CAPEC-26,CWE-366
CAPEC-26,CWE-370
CAPEC-26,CWE-362
CAPEC-26,CWE-662
CAPEC-26,CWE-689
CAPEC-26,CWE-667
CAPEC-26,CWE-665
CAPEC-26,CWE-1223
CAPEC-26,CWE-1254
CAPEC-26,CWE-1298
CAPEC-261,CWE-20
CAPEC-263,CWE-829
CAPEC-267,CWE-173
CAPEC-267,CWE-172
CAPEC-267,CWE-180
CAPEC-267,CWE-181
CAPEC-267,CWE-73
CAPEC-267,CWE-74
CAPEC-267,CWE-20
CAPEC-267,CWE-697
CAPEC-267,CWE-692
CAPEC-268,CWE-117
CAPEC-27,CWE-367
CAPEC-27,CWE-61
CAPEC-27,CWE-662
CAPEC-27,CWE-689
CAPEC-27,CWE-667
CAPEC-270,CWE-15
CAPEC-271,CWE-15
CAPEC-273,CWE-74
CAPEC-273,CWE-436
CAPEC-274,CWE-302
CAPEC-274,CWE-654
CAPEC-275,CWE-350
CAPEC-276,CWE-707
CAPEC-277,CWE-707
CAPEC-278,CWE-707
CAPEC-279,CWE-707
CAPEC-28,CWE-74
CAPEC-28,CWE-20
CAPEC-285,CWE-200
CAPEC-287,CWE-200
CAPEC-29,CWE-367
CAPEC-29,CWE-368
CAPEC-29,CWE-366
CAPEC-29,CWE-370
CAPEC-29,CWE-362
CAPEC-29,CWE-662
CAPEC-29,CWE-691
CAPEC-29,CWE-663
CAPEC-29,CWE-665
CAPEC-290,CWE-200
CAPEC-291,CWE-200
CAPEC-292,CWE-200
CAPEC-293,CWE-200
CAPEC-294,CWE-200
CAPEC-295,CWE-200
CAPEC-296,CWE-200
CAPEC-297,CWE-200
CAPEC-298,CWE-200
CAPEC-299,CWE-200
CAPEC-3,CWE-173
CAPEC-3,CWE-41
CAPEC-3,CWE-172
CAPEC-3,CWE-179
CAPEC-3,CWE-180
CAPEC-3,CWE-181
CAPEC-3,CWE-183
CAPEC-3,CWE-184
CAPEC-3,CWE-20
CAPEC-3,CWE-74
CAPEC-3,CWE-697
CAPEC-3,CWE-707
CAPEC-30,CWE-270
CAPEC-300,CWE-200
CAPEC-301,CWE-200
CAPEC-302,CWE-200
CAPEC-303,CWE-200
CAPEC-304,CWE-200
CAPEC-305,CWE-200
CAPEC-306,CWE-200
CAPEC-307,CWE-200
CAPEC-308,CWE-200
CAPEC-309,CWE-200
CAPEC-31,CWE-565
CAPEC-31,CWE-302
CAPEC-31,CWE-311
CAPEC-31,CWE-113
CAPEC-31,CWE-539
CAPEC-31,CWE-20
CAPEC-31,CWE-315
CAPEC-31,CWE-384
CAPEC-31,CWE-472
CAPEC-31,CWE-602
CAPEC-31,CWE-642
CAPEC-310,CWE-200
CAPEC-312,CWE-200
CAPEC-313,CWE-200
CAPEC-317,CWE-200
CAPEC-318,CWE-200
CAPEC-319,CWE-200
CAPEC-32,CWE-80
CAPEC-320,CWE-200
CAPEC-321,CWE-200
CAPEC-322,CWE-200
CAPEC-323,CWE-200
CAPEC-324,CWE-200
CAPEC-325,CWE-200
CAPEC-326,CWE-200
CAPEC-327,CWE-200
CAPEC-328,CWE-200
CAPEC-329,CWE-200
CAPEC-33,CWE-444
CAPEC-330,CWE-200
CAPEC-34,CWE-74
CAPEC-34,CWE-113
CAPEC-34,CWE-138
CAPEC-34,CWE-436
CAPEC-35,CWE-94
CAPEC-35,CWE-96
CAPEC-35,CWE-95
CAPEC-35,CWE-97
CAPEC-35,CWE-272
CAPEC-35,CWE-59
CAPEC-35,CWE-282
CAPEC-35,CWE-270
CAPEC-36,CWE-306
CAPEC-36,CWE-693
CAPEC-36,CWE-695
CAPEC-36,CWE-1242
CAPEC-37,CWE-226
CAPEC-37,CWE-311
CAPEC-37,CWE-525
CAPEC-37,CWE-312
CAPEC-37,CWE-314
CAPEC-37,CWE-315
CAPEC-37,CWE-318
CAPEC-37,CWE-1239
CAPEC-37,CWE-1258
CAPEC-37,CWE-1266
CAPEC-37,CWE-1272
CAPEC-37,CWE-1278
CAPEC-37,CWE-1301
CAPEC-37,CWE-1330
CAPEC-38,CWE-426
CAPEC-38,CWE-427
CAPEC-383,CWE-311
CAPEC-383,CWE-319
CAPEC-383,CWE-419
CAPEC-383,CWE-602
CAPEC-384,CWE-471
CAPEC-384,CWE-345
CAPEC-384,CWE-346
CAPEC-384,CWE-602
CAPEC-384,CWE-311
CAPEC-385,CWE-471
CAPEC-385,CWE-345
CAPEC-385,CWE-346
CAPEC-385,CWE-602
CAPEC-385,CWE-311
CAPEC-386,CWE-471
CAPEC-386,CWE-345
CAPEC-386,CWE-346
CAPEC-386,CWE-602
CAPEC-386,CWE-311
CAPEC-387,CWE-471
CAPEC-387,CWE-345
CAPEC-387,CWE-346
CAPEC-387,CWE-602
CAPEC-387,CWE-311
CAPEC-388,CWE-471
CAPEC-388,CWE-345
CAPEC-388,CWE-346
CAPEC-388,CWE-602
CAPEC-388,CWE-311
CAPEC-389,CWE-353
CAPEC-39,CWE-353
CAPEC-39,CWE-285
CAPEC-39,CWE-302
CAPEC-39,CWE-472
CAPEC-39,CWE-565
CAPEC-39,CWE-315
CAPEC-39,CWE-539
CAPEC-39,CWE-384
CAPEC-39,CWE-233
CAPEC-4,CWE-291
CAPEC-4,CWE-173
CAPEC-40,CWE-77
CAPEC-401,CWE-1263
CAPEC-402,CWE-285
CAPEC-41,CWE-150
CAPEC-41,CWE-88
CAPEC-41,CWE-697
CAPEC-42,CWE-120
CAPEC-42,CWE-119
CAPEC-42,CWE-74
CAPEC-42,CWE-20
CAPEC-43,CWE-179
CAPEC-43,CWE-181
CAPEC-43,CWE-184
CAPEC-43,CWE-183
CAPEC-43,CWE-77
CAPEC-43,CWE-78
CAPEC-43,CWE-74
CAPEC-43,CWE-20
CAPEC-43,CWE-697
CAPEC-43,CWE-707
CAPEC-439,CWE-1269
CAPEC-44,CWE-120
CAPEC-44,CWE-119
CAPEC-44,CWE-697
CAPEC-441,CWE-284
CAPEC-45,CWE-120
CAPEC-45,CWE-285
CAPEC-45,CWE-302
CAPEC-45,CWE-118
CAPEC-45,CWE-119
CAPEC-45,CWE-74
CAPEC-45,CWE-20
CAPEC-45,CWE-680
CAPEC-45,CWE-697
CAPEC-459,CWE-327
CAPEC-459,CWE-295
CAPEC-459,CWE-290
CAPEC-46,CWE-120
CAPEC-46,CWE-118
CAPEC-46,CWE-119
CAPEC-46,CWE-74
CAPEC-46,CWE-20
CAPEC-46,CWE-680
CAPEC-46,CWE-733
CAPEC-46,CWE-697
CAPEC-460,CWE-88
CAPEC-460,CWE-147
CAPEC-460,CWE-235
CAPEC-461,CWE-328
CAPEC-461,CWE-290
CAPEC-462,CWE-385
CAPEC-462,CWE-352
CAPEC-462,CWE-208
CAPEC-463,CWE-209
CAPEC-463,CWE-514
CAPEC-463,CWE-649
CAPEC-463,CWE-347
CAPEC-463,CWE-354
CAPEC-463,CWE-696
CAPEC-464,CWE-359
CAPEC-465,CWE-441
CAPEC-466,CWE-300
CAPEC-467,CWE-352
CAPEC-467,CWE-359
CAPEC-468,CWE-707
CAPEC-468,CWE-149
CAPEC-468,CWE-177
CAPEC-468,CWE-838
CAPEC-469,CWE-770
CAPEC-469,CWE-772
CAPEC-47,CWE-120
CAPEC-47,CWE-119
CAPEC-47,CWE-118
CAPEC-47,CWE-130
CAPEC-47,CWE-131
CAPEC-47,CWE-74
CAPEC-47,CWE-20
CAPEC-47,CWE-680
CAPEC-47,CWE-697
CAPEC-470,CWE-250
CAPEC-470,CWE-89
CAPEC-471,CWE-427
CAPEC-472,CWE-200
CAPEC-473,CWE-20
CAPEC-473,CWE-327
CAPEC-473,CWE-290
CAPEC-474,CWE-522
CAPEC-475,CWE-347
CAPEC-475,CWE-327
CAPEC-475,CWE-295
CAPEC-476,CWE-290
CAPEC-477,CWE-693
CAPEC-477,CWE-311
CAPEC-477,CWE-319
CAPEC-478,CWE-284
CAPEC-479,CWE-284
CAPEC-48,CWE-241
CAPEC-48,CWE-706
CAPEC-480,CWE-693
CAPEC-482,CWE-770
CAPEC-485,CWE-330
CAPEC-486,CWE-770
CAPEC-487,CWE-770
CAPEC-488,CWE-770
CAPEC-489,CWE-770
CAPEC-49,CWE-521
CAPEC-49,CWE-262
CAPEC-49,CWE-263
CAPEC-49,CWE-257
CAPEC-49,CWE-654
CAPEC-49,CWE-307
CAPEC-49,CWE-308
CAPEC-49,CWE-309
CAPEC-490,CWE-770
CAPEC-491,CWE-770
CAPEC-492,CWE-400
CAPEC-492,CWE-1333
CAPEC-493,CWE-770
CAPEC-494,CWE-770
CAPEC-494,CWE-404
CAPEC-495,CWE-770
CAPEC-495,CWE-404
CAPEC-496,CWE-770
CAPEC-496,CWE-404
CAPEC-497,CWE-200
CAPEC-499,CWE-925
CAPEC-5,CWE-285
CAPEC-50,CWE-522
CAPEC-50,CWE-640
CAPEC-501,CWE-923
CAPEC-502,CWE-284
CAPEC-503,CWE-284
CAPEC-504,CWE-1021
CAPEC-506,CWE-1021
CAPEC-508,CWE-200
CAPEC-508,CWE-359
CAPEC-509,CWE-522
CAPEC-509,CWE-308
CAPEC-509,CWE-309
CAPEC-509,CWE-294
CAPEC-509,CWE-263
CAPEC-509,CWE-262
CAPEC-509,CWE-521
CAPEC-51,CWE-285
CAPEC-51,CWE-74
CAPEC-51,CWE-693
CAPEC-510,CWE-346
CAPEC-52,CWE-158
CAPEC-52,CWE-172
CAPEC-52,CWE-173
CAPEC-52,CWE-74
CAPEC-52,CWE-20
CAPEC-52,CWE-697
CAPEC-52,CWE-707
CAPEC-528,CWE-770
CAPEC-53,CWE-158
CAPEC-53,CWE-172
CAPEC-53,CWE-173
CAPEC-53,CWE-74
CAPEC-53,CWE-20
CAPEC-53,CWE-697
CAPEC-53,CWE-707
CAPEC-533,CWE-494
CAPEC-536,CWE-284
CAPEC-54,CWE-209
CAPEC-540,CWE-125
CAPEC-545,CWE-1239
CAPEC-545,CWE-1243
CAPEC-545,CWE-1258
CAPEC-545,CWE-1266
CAPEC-545,CWE-1272
CAPEC-545,CWE-1278
CAPEC-545,CWE-1323
CAPEC-545,CWE-1324
CAPEC-545,CWE-1258
CAPEC-545,CWE-1330
CAPEC-546,CWE-284
CAPEC-546,CWE-1266
CAPEC-546,CWE-1272
CAPEC-549,CWE-829
CAPEC-55,CWE-261
CAPEC-55,CWE-521
CAPEC-55,CWE-262
CAPEC-55,CWE-263
CAPEC-55,CWE-654
CAPEC-55,CWE-916
CAPEC-55,CWE-308
CAPEC-55,CWE-309
CAPEC-550,CWE-284
CAPEC-551,CWE-284
CAPEC-551,CWE-522
CAPEC-552,CWE-284
CAPEC-554,CWE-424
CAPEC-554,CWE-1299
CAPEC-555,CWE-522
CAPEC-555,CWE-308
CAPEC-555,CWE-309
CAPEC-555,CWE-294
CAPEC-555,CWE-263
CAPEC-555,CWE-262
CAPEC-555,CWE-521
CAPEC-556,CWE-284
CAPEC-558,CWE-284
CAPEC-560,CWE-522
CAPEC-560,CWE-307
CAPEC-560,CWE-308
CAPEC-560,CWE-309
CAPEC-560,CWE-262
CAPEC-560,CWE-263
CAPEC-560,CWE-654
CAPEC-560,CWE-1273
CAPEC-561,CWE-522
CAPEC-561,CWE-308
CAPEC-561,CWE-309
CAPEC-561,CWE-294
CAPEC-561,CWE-263
CAPEC-561,CWE-262
CAPEC-561,CWE-521
CAPEC-562,CWE-284
CAPEC-563,CWE-284
CAPEC-564,CWE-284
CAPEC-565,CWE-521
CAPEC-565,CWE-262
CAPEC-565,CWE-263
CAPEC-565,CWE-654
CAPEC-565,CWE-307
CAPEC-565,CWE-308
CAPEC-565,CWE-309
CAPEC-57,CWE-300
CAPEC-57,CWE-287
CAPEC-57,CWE-693
CAPEC-573,CWE-200
CAPEC-574,CWE-200
CAPEC-575,CWE-200
CAPEC-576,CWE-200
CAPEC-577,CWE-200
CAPEC-578,CWE-284
CAPEC-58,CWE-267
CAPEC-58,CWE-269
CAPEC-586,CWE-502
CAPEC-588,CWE-79
CAPEC-588,CWE-20
CAPEC-588,CWE-83
CAPEC-589,CWE-300
CAPEC-59,CWE-290
CAPEC-59,CWE-330
CAPEC-59,CWE-331
CAPEC-59,CWE-346
CAPEC-59,CWE-488
CAPEC-59,CWE-539
CAPEC-59,CWE-200
CAPEC-59,CWE-6
CAPEC-59,CWE-285
CAPEC-59,CWE-384
CAPEC-59,CWE-693
CAPEC-590,CWE-300
CAPEC-591,CWE-79
CAPEC-592,CWE-79
CAPEC-593,CWE-287
CAPEC-594,CWE-940
CAPEC-595,CWE-940
CAPEC-596,CWE-940
CAPEC-597,CWE-36
CAPEC-6,CWE-74
CAPEC-6,CWE-146
CAPEC-6,CWE-184
CAPEC-6,CWE-78
CAPEC-6,CWE-185
CAPEC-6,CWE-697
CAPEC-60,CWE-294
CAPEC-60,CWE-290
CAPEC-60,CWE-346
CAPEC-60,CWE-384
CAPEC-60,CWE-488
CAPEC-60,CWE-539
CAPEC-60,CWE-200
CAPEC-60,CWE-285
CAPEC-60,CWE-664
CAPEC-60,CWE-732
CAPEC-600,CWE-522
CAPEC-600,CWE-307
CAPEC-600,CWE-308
CAPEC-600,CWE-309
CAPEC-600,CWE-262
CAPEC-600,CWE-263
CAPEC-600,CWE-654
CAPEC-606,CWE-757
CAPEC-608,CWE-327
CAPEC-609,CWE-311
CAPEC-61,CWE-384
CAPEC-61,CWE-664
CAPEC-61,CWE-732
CAPEC-612,CWE-201
CAPEC-612,CWE-300
CAPEC-613,CWE-201
CAPEC-613,CWE-300
CAPEC-614,CWE-327
CAPEC-615,CWE-300
CAPEC-616,CWE-200
CAPEC-618,CWE-201
CAPEC-619,CWE-201
CAPEC-62,CWE-352
CAPEC-62,CWE-306
CAPEC-62,CWE-664
CAPEC-62,CWE-732
CAPEC-62,CWE-1275
CAPEC-620,CWE-757
CAPEC-621,CWE-201
CAPEC-622,CWE-201
CAPEC-623,CWE-201
CAPEC-624,CWE-1247
CAPEC-624,CWE-1248
CAPEC-624,CWE-1256
CAPEC-624,CWE-1319
CAPEC-624,CWE-1332
CAPEC-624,CWE-1334
CAPEC-629,CWE-1290
CAPEC-629,CWE-1292
CAPEC-63,CWE-79
CAPEC-63,CWE-20
CAPEC-633,CWE-287
CAPEC-633,CWE-1270
CAPEC-634,CWE-267
CAPEC-635,CWE-162
CAPEC-637,CWE-267
CAPEC-639,CWE-552
CAPEC-64,CWE-177
CAPEC-64,CWE-173
CAPEC-64,CWE-172
CAPEC-64,CWE-73
CAPEC-64,CWE-22
CAPEC-64,CWE-74
CAPEC-64,CWE-20
CAPEC-64,CWE-697
CAPEC-64,CWE-707
CAPEC-641,CWE-706
CAPEC-642,CWE-732
CAPEC-643,CWE-267
CAPEC-643,CWE-200
CAPEC-644,CWE-522
CAPEC-644,CWE-836
CAPEC-644,CWE-308
CAPEC-644,CWE-294
CAPEC-644,CWE-308
CAPEC-645,CWE-522
CAPEC-645,CWE-294
CAPEC-645,CWE-308
CAPEC-646,CWE-200
CAPEC-647,CWE-285
CAPEC-648,CWE-267
CAPEC-649,CWE-46
CAPEC-65,CWE-319
CAPEC-65,CWE-311
CAPEC-65,CWE-318
CAPEC-65,CWE-693
CAPEC-650,CWE-287
CAPEC-650,CWE-553
CAPEC-651,CWE-200
CAPEC-652,CWE-522
CAPEC-652,CWE-307
CAPEC-652,CWE-308
CAPEC-652,CWE-309
CAPEC-652,CWE-262
CAPEC-652,CWE-263
CAPEC-652,CWE-654
CAPEC-652,CWE-294
CAPEC-652,CWE-836
CAPEC-653,CWE-522
CAPEC-653,CWE-307
CAPEC-653,CWE-308
CAPEC-653,CWE-309
CAPEC-653,CWE-262
CAPEC-653,CWE-263
CAPEC-653,CWE-654
CAPEC-654,CWE-1021
CAPEC-657,CWE-494
CAPEC-66,CWE-89
CAPEC-66,CWE-1286
CAPEC-660,CWE-829
CAPEC-661,CWE-489
CAPEC-662,CWE-300
CAPEC-662,CWE-494
CAPEC-663,CWE-1037
CAPEC-663,CWE-1303
CAPEC-663,CWE-1264
CAPEC-664,CWE-918
CAPEC-664,CWE-20
CAPEC-665,CWE-345
CAPEC-665,CWE-353
CAPEC-665,CWE-288
CAPEC-665,CWE-1188
CAPEC-665,CWE-862
CAPEC-666,CWE-404
CAPEC-667,CWE-290
CAPEC-668,CWE-425
CAPEC-668,CWE-285
CAPEC-668,CWE-693
CAPEC-67,CWE-120
CAPEC-67,CWE-134
CAPEC-67,CWE-74
CAPEC-67,CWE-20
CAPEC-67,CWE-680
CAPEC-67,CWE-697
CAPEC-676,CWE-943
CAPEC-676,CWE-1286
CAPEC-679,CWE-1222
CAPEC-679,CWE-1252
CAPEC-679,CWE-1257
CAPEC-679,CWE-1260
CAPEC-679,CWE-1274
CAPEC-679,CWE-1282
CAPEC-679,CWE-1312
CAPEC-679,CWE-1316
CAPEC-679,CWE-1326
CAPEC-68,CWE-325
CAPEC-68,CWE-328
CAPEC-68,CWE-1326
CAPEC-680,CWE-1224
CAPEC-680,CWE-1231
CAPEC-680,CWE-1233
CAPEC-680,CWE-1262
CAPEC-680,CWE-1283
CAPEC-681,CWE-1259
CAPEC-681,CWE-1267
CAPEC-681,CWE-1270
CAPEC-681,CWE-1294
CAPEC-681,CWE-1302
CAPEC-69,CWE-250
CAPEC-69,CWE-15
CAPEC-7,CWE-89
CAPEC-7,CWE-209
CAPEC-7,CWE-74
CAPEC-7,CWE-20
CAPEC-7,CWE-697
CAPEC-7,CWE-707
CAPEC-70,CWE-521
CAPEC-70,CWE-262
CAPEC-70,CWE-263
CAPEC-70,CWE-798
CAPEC-70,CWE-654
CAPEC-70,CWE-308
CAPEC-70,CWE-309
CAPEC-71,CWE-176
CAPEC-71,CWE-179
CAPEC-71,CWE-180
