cwe,method,description,effectiveness
CWE-134,Automated_Static_Analysis_-_Binary_or_Bytecode,"According to SOAR, the following detection techniques may be useful: Highly cost effective: Bytecode Weakness Analysis - including disassembler + source code weakness analysis Binary Weakness Analysis - including disassembler + source code weakness analysis Cost effective for partial coverage: Binary / Bytecode simple extractor - strings, ELF readers, etc.",High
CWE-134,Automated_Static_Analysis_-_Source_Code,"According to SOAR, the following detection techniques may be useful: Highly cost effective: Source code Weakness Analyzer Context-configured Source Code Weakness Analyzer Cost effective for partial coverage: Warning Flags",High
CWE-134,Black_Box,"Since format strings often occur in rarely-occurring erroneous conditions (e.g. for error message logging), they can be difficult to detect using black box methods. It is highly likely that many latent issues exist in executables that do not have associated source code (or equivalent source.",Limited
CWE-134,Dynamic_Analysis_with_Automated_Results_Interpretation,"According to SOAR, the following detection techniques may be useful: Cost effective for partial coverage: Web Application Scanner Web Services Scanner Database Scanners",SOAR Partial
CWE-134,Dynamic_Analysis_with_Manual_Results_Interpretation,"According to SOAR, the following detection techniques may be useful: Cost effective for partial coverage: Fuzz Tester Framework-based Fuzzer",SOAR Partial
CWE-134,Manual_Static_Analysis_-_Binary_or_Bytecode,"According to SOAR, the following detection techniques may be useful: Cost effective for partial coverage: Binary / Bytecode disassembler - then use manual analysis for vulnerabilities & anomalies",SOAR Partial
CWE-134,Manual_Static_Analysis_-_Source_Code,"According to SOAR, the following detection techniques may be useful: Highly cost effective: Manual Source Code Review (not inspections) Cost effective for partial coverage: Focused Manual Spotcheck - Focused manual analysis of source",High
CWE-184,Black_Box,"Exploitation of a vulnerability with commonly-used manipulations might fail, but minor variations might succeed.",Zero
CWE-190,Architecture_or_Design_Review,"According to SOAR, the following detection techniques may be useful: Highly cost effective: Formal Methods / Correct-By-Construction Cost effective for partial coverage: Inspection (IEEE 1028 standard) (can apply to requirements, design, source code, etc.)",High
CWE-190,Automated_Static_Analysis,This weakness can often be detected using automated static analysis tools. Many modern tools use data flow analysis or constraint-based techniques to minimize the number of false positives.,High
CWE-190,Automated_Static_Analysis_-_Binary_or_Bytecode,"According to SOAR, the following detection techniques may be useful: Highly cost effective: Bytecode Weakness Analysis - including disassembler + source code weakness analysis Binary Weakness Analysis - including disassembler + source code weakness analysis",High
CWE-190,Automated_Static_Analysis_-_Source_Code,"According to SOAR, the following detection techniques may be useful: Highly cost effective: Source code Weakness Analyzer Context-configured Source Code Weakness Analyzer",High
CWE-190,Black_Box,"Sometimes, evidence of this weakness can be detected using dynamic tools and techniques that interact with the software using large test suites with many diverse inputs, such as fuzz testing (fuzzing), robustness testing, and fault injection. The software's operation may slow down, but it should not become unstable, crash, or generate incorrect results.",Moderate
CWE-190,Dynamic_Analysis_with_Manual_Results_Interpretation,"According to SOAR, the following detection techniques may be useful: Cost effective for partial coverage: Fuzz Tester Framework-based Fuzzer",SOAR Partial
CWE-190,Manual_Analysis,"This weakness can be detected using tools and techniques that require manual (human) analysis, such as penetration testing, threat modeling, and interactive tools that allow the tester to record and modify an active session. Specifically, manual static analysis is useful for evaluating the correctness of allocation calculations. This can be useful for detecting overflow conditions (CWE-190) or similar weaknesses that might have serious security impacts on the program.",High
CWE-190,Manual_Static_Analysis_-_Source_Code,"According to SOAR, the following detection techniques may be useful: Cost effective for partial coverage: Manual Source Code Review (not inspections)",SOAR Partial
CWE-198,Black_Box,"Because byte ordering bugs are usually very noticeable even with normal inputs, this bug is more likely to occur in rarely triggered error conditions, making them difficult to detect using black box methods.",Zero
CWE-209,Automated_Analysis,"Automated methods may be able to detect certain idioms automatically, such as exposed stack traces or pathnames, but violation of business rules or privacy requirements is not typically feasible.",Moderate
CWE-209,Automated_Dynamic_Analysis,"This weakness can be detected using dynamic tools and techniques that interact with the software using large test suites with many diverse inputs, such as fuzz testing (fuzzing), robustness testing, and fault injection. The software's operation may slow down, but it should not become unstable, crash, or generate incorrect results. Error conditions may be triggered with a stress-test by calling the software simultaneously from a large number of threads or processes, and look for evidence of any unexpected behavior.",Moderate
CWE-209,Manual_Analysis,"This weakness generally requires domain-specific interpretation using manual analysis. However, the number of potential error conditions may be too large to cover completely within limited time constraints.",High
CWE-209,Manual_Dynamic_Analysis,"Identify error conditions that are not likely to occur during normal usage and trigger them. For example, run the program under low memory conditions, run with insufficient privileges or permissions, interrupt a transaction before it is completed, or disable connectivity to basic network services such as DNS. Monitor the software for any unexpected behavior. If you trigger an unhandled exception or similar error that was discovered and handled by the application's environment, it may still indicate unexpected conditions that were not handled by the application itself.",Zero
CWE-226,Manual_Analysis,"Write a known pattern into each sensitive location. Trigger the release of the resource or cause the desired state transition to occur. Read data back from the sensitive locations. If the reads are successful, and the data is the same as the pattern that was originally written, the test fails and the product needs to be fixed. Note that this test can likely be automated.",High
CWE-250,Architecture_or_Design_Review,"According to SOAR, the following detection techniques may be useful: Highly cost effective: Inspection (IEEE 1028 standard) (can apply to requirements, design, source code, etc.) Formal Methods / Correct-By-Construction Cost effective for partial coverage: Attack Modeling",High
CWE-250,Automated_Static_Analysis,"According to SOAR, the following detection techniques may be useful: Cost effective for partial coverage: Configuration Checker Permission Manifest Analysis",SOAR Partial
CWE-250,Automated_Static_Analysis_-_Binary_or_Bytecode,"According to SOAR, the following detection techniques may be useful: Highly cost effective: Compare binary / bytecode to application permission manifest Cost effective for partial coverage: Bytecode Weakness Analysis - including disassembler + source code weakness analysis Binary Weakness Analysis - including disassembler + source code weakness analysis",High
CWE-250,Automated_Static_Analysis_-_Source_Code,"According to SOAR, the following detection techniques may be useful: Cost effective for partial coverage: Source code Weakness Analyzer Context-configured Source Code Weakness Analyzer",SOAR Partial
CWE-250,Black_Box,"Use monitoring tools that examine the software's process as it interacts with the operating system and the network. This technique is useful in cases when source code is unavailable, if the software was not developed by you, or if you want to verify that the build phase did not introduce any new weaknesses. Examples include debuggers that directly attach to the running process; system-call tracing utilities such as truss (Solaris) and strace (Linux); system activity monitors such as FileMon, RegMon, Process Monitor, and other Sysinternals utilities (Windows); and sniffers and protocol analyzers that monitor network traffic. Attach the monitor to the process and perform a login. Look for library functions and system calls that indicate when privileges are being raised or dropped. Look for accesses of resources that are restricted to normal users.",Zero
CWE-250,Dynamic_Analysis_with_Automated_Results_Interpretation,"According to SOAR, the following detection techniques may be useful: Cost effective for partial coverage: Host-based Vulnerability Scanners - Examine configuration for flaws, verifying that audit mechanisms work, ensure host configuration meets certain predefined criteria",SOAR Partial
CWE-250,Dynamic_Analysis_with_Manual_Results_Interpretation,"According to SOAR, the following detection techniques may be useful: Cost effective for partial coverage: Host Application Interface Scanner",SOAR Partial
CWE-250,Manual_Analysis,"This weakness can be detected using tools and techniques that require manual (human) analysis, such as penetration testing, threat modeling, and interactive tools that allow the tester to record and modify an active session.",Zero
CWE-250,Manual_Static_Analysis_-_Binary_or_Bytecode,"According to SOAR, the following detection techniques may be useful: Cost effective for partial coverage: Binary / Bytecode disassembler - then use manual analysis for vulnerabilities & anomalies",SOAR Partial
CWE-250,Manual_Static_Analysis_-_Source_Code,"According to SOAR, the following detection techniques may be useful: Highly cost effective: Manual Source Code Review (not inspections) Cost effective for partial coverage: Focused Manual Spotcheck - Focused manual analysis of source",High
CWE-272,Architecture_or_Design_Review,"According to SOAR, the following detection techniques may be useful: Highly cost effective: Inspection (IEEE 1028 standard) (can apply to requirements, design, source code, etc.) Formal Methods / Correct-By-Construction Cost effective for partial coverage: Attack Modeling",High
CWE-272,Automated_Static_Analysis,"According to SOAR, the following detection techniques may be useful: Cost effective for partial coverage: Permission Manifest Analysis",SOAR Partial
CWE-272,Automated_Static_Analysis_-_Binary_or_Bytecode,"According to SOAR, the following detection techniques may be useful: Cost effective for partial coverage: Compare binary / bytecode to application permission manifest",SOAR Partial
CWE-272,Automated_Static_Analysis_-_Source_Code,"According to SOAR, the following detection techniques may be useful: Cost effective for partial coverage: Source code Weakness Analyzer Context-configured Source Code Weakness Analyzer",SOAR Partial
CWE-272,Dynamic_Analysis_with_Automated_Results_Interpretation,"According to SOAR, the following detection techniques may be useful: Cost effective for partial coverage: Host-based Vulnerability Scanners - Examine configuration for flaws, verifying that audit mechanisms work, ensure host configuration meets certain predefined criteria",SOAR Partial
CWE-272,Manual_Static_Analysis_-_Source_Code,"According to SOAR, the following detection techniques may be useful: Highly cost effective: Manual Source Code Review (not inspections) Cost effective for partial coverage: Focused Manual Spotcheck - Focused manual analysis of source",High
CWE-276,Architecture_or_Design_Review,"According to SOAR, the following detection techniques may be useful: Highly cost effective: Formal Methods / Correct-By-Construction Cost effective for partial coverage: Inspection (IEEE 1028 standard) (can apply to requirements, design, source code, etc.)",High
CWE-276,Automated_Static_Analysis,"According to SOAR, the following detection techniques may be useful: Cost effective for partial coverage: Configuration Checker",SOAR Partial
CWE-276,Automated_Static_Analysis_-_Binary_or_Bytecode,"According to SOAR, the following detection techniques may be useful: Cost effective for partial coverage: Inter-application Flow Analysis",SOAR Partial
CWE-276,Automated_Static_Analysis_-_Source_Code,"According to SOAR, the following detection techniques may be useful: Cost effective for partial coverage: Context-configured Source Code Weakness Analyzer",SOAR Partial
CWE-276,Dynamic_Analysis_with_Automated_Results_Interpretation,"According to SOAR, the following detection techniques may be useful: Cost effective for partial coverage: Host-based Vulnerability Scanners - Examine configuration for flaws, verifying that audit mechanisms work, ensure host configuration meets certain predefined criteria Web Application Scanner Web Services Scanner Database Scanners",SOAR Partial
CWE-276,Dynamic_Analysis_with_Manual_Results_Interpretation,"According to SOAR, the following detection techniques may be useful: Highly cost effective: Host Application Interface Scanner Cost effective for partial coverage: Fuzz Tester Framework-based Fuzzer Automated Monitored Execution Forced Path Execution",High
CWE-276,Manual_Static_Analysis_-_Binary_or_Bytecode,"According to SOAR, the following detection techniques may be useful: Cost effective for partial coverage: Binary / Bytecode disassembler - then use manual analysis for vulnerabilities & anomalies",SOAR Partial
CWE-276,Manual_Static_Analysis_-_Source_Code,"According to SOAR, the following detection techniques may be useful: Highly cost effective: Manual Source Code Review (not inspections) Cost effective for partial coverage: Focused Manual Spotcheck - Focused manual analysis of source",High
CWE-295,Architecture_or_Design_Review,"According to SOAR, the following detection techniques may be useful: Highly cost effective: Inspection (IEEE 1028 standard) (can apply to requirements, design, source code, etc.)",High
CWE-295,Automated_Static_Analysis_-_Binary_or_Bytecode,"According to SOAR, the following detection techniques may be useful: Cost effective for partial coverage: Bytecode Weakness Analysis - including disassembler + source code weakness analysis Binary Weakness Analysis - including disassembler + source code weakness analysis",SOAR Partial
CWE-295,Automated_Static_Analysis_-_Source_Code,"According to SOAR, the following detection techniques may be useful: Cost effective for partial coverage: Source code Weakness Analyzer Context-configured Source Code Weakness Analyzer",SOAR Partial
CWE-295,Dynamic_Analysis_with_Automated_Results_Interpretation,"According to SOAR, the following detection techniques may be useful: Cost effective for partial coverage: Web Application Scanner",SOAR Partial
CWE-295,Dynamic_Analysis_with_Manual_Results_Interpretation,"According to SOAR, the following detection techniques may be useful: Highly cost effective: Man-in-the-middle attack tool",High
CWE-295,Manual_Static_Analysis_-_Binary_or_Bytecode,"According to SOAR, the following detection techniques may be useful: Cost effective for partial coverage: Binary / Bytecode disassembler - then use manual analysis for vulnerabilities & anomalies",SOAR Partial
CWE-295,Manual_Static_Analysis_-_Source_Code,"According to SOAR, the following detection techniques may be useful: Highly cost effective: Focused Manual Spotcheck - Focused manual analysis of source Manual Source Code Review (not inspections)",High
CWE-306,Architecture_or_Design_Review,"According to SOAR, the following detection techniques may be useful: Highly cost effective: Inspection (IEEE 1028 standard) (can apply to requirements, design, source code, etc.) Formal Methods / Correct-By-Construction Cost effective for partial coverage: Attack Modeling",High
CWE-306,Automated_Static_Analysis,"Automated static analysis is useful for detecting commonly-used idioms for authentication. A tool may be able to analyze related configuration files, such as .htaccess in Apache web servers, or detect the usage of commonly-used authentication libraries. Generally, automated static analysis tools have difficulty detecting custom authentication schemes. In addition, the software's design may include some functionality that is accessible to any user and does not require an established identity; an automated technique that detects the absence of authentication may report false positives.",Limited
CWE-306,Automated_Static_Analysis_-_Source_Code,"According to SOAR, the following detection techniques may be useful: Cost effective for partial coverage: Source code Weakness Analyzer Context-configured Source Code Weakness Analyzer",SOAR Partial
CWE-306,Dynamic_Analysis_with_Automated_Results_Interpretation,"According to SOAR, the following detection techniques may be useful: Cost effective for partial coverage: Web Application Scanner Web Services Scanner Database Scanners",SOAR Partial
CWE-306,Dynamic_Analysis_with_Manual_Results_Interpretation,"According to SOAR, the following detection techniques may be useful: Cost effective for partial coverage: Host Application Interface Scanner Fuzz Tester Framework-based Fuzzer",SOAR Partial
CWE-306,Manual_Analysis,"This weakness can be detected using tools and techniques that require manual (human) analysis, such as penetration testing, threat modeling, and interactive tools that allow the tester to record and modify an active session. Specifically, manual static analysis is useful for evaluating the correctness of custom authentication mechanisms.",Zero
CWE-306,Manual_Static_Analysis_-_Binary_or_Bytecode,"According to SOAR, the following detection techniques may be useful: Cost effective for partial coverage: Binary / Bytecode disassembler - then use manual analysis for vulnerabilities & anomalies",SOAR Partial
CWE-306,Manual_Static_Analysis_-_Source_Code,"According to SOAR, the following detection techniques may be useful: Cost effective for partial coverage: Focused Manual Spotcheck - Focused manual analysis of source Manual Source Code Review (not inspections)",SOAR Partial
CWE-307,Architecture_or_Design_Review,"According to SOAR, the following detection techniques may be useful: Highly cost effective: Formal Methods / Correct-By-Construction Cost effective for partial coverage: Inspection (IEEE 1028 standard) (can apply to requirements, design, source code, etc.)",High
CWE-307,Automated_Static_Analysis,"According to SOAR, the following detection techniques may be useful: Cost effective for partial coverage: Configuration Checker",SOAR Partial
CWE-307,Automated_Static_Analysis_-_Source_Code,"According to SOAR, the following detection techniques may be useful: Cost effective for partial coverage: Source code Weakness Analyzer Context-configured Source Code Weakness Analyzer",SOAR Partial
CWE-307,Dynamic_Analysis_with_Automated_Results_Interpretation,"According to SOAR, the following detection techniques may be useful: Highly cost effective: Web Application Scanner Web Services Scanner Database Scanners Cost effective for partial coverage: Host-based Vulnerability Scanners - Examine configuration for flaws, verifying that audit mechanisms work, ensure host configuration meets certain predefined criteria",High
CWE-307,Dynamic_Analysis_with_Manual_Results_Interpretation,"According to SOAR, the following detection techniques may be useful: Highly cost effective: Fuzz Tester Framework-based Fuzzer Cost effective for partial coverage: Forced Path Execution",High
CWE-307,Manual_Static_Analysis_-_Source_Code,"According to SOAR, the following detection techniques may be useful: Highly cost effective: Focused Manual Spotcheck - Focused manual analysis of source Manual Source Code Review (not inspections)",High
CWE-319,Black_Box,"Use monitoring tools that examine the software's process as it interacts with the operating system and the network. This technique is useful in cases when source code is unavailable, if the software was not developed by you, or if you want to verify that the build phase did not introduce any new weaknesses. Examples include debuggers that directly attach to the running process; system-call tracing utilities such as truss (Solaris) and strace (Linux); system activity monitors such as FileMon, RegMon, Process Monitor, and other Sysinternals utilities (Windows); and sniffers and protocol analyzers that monitor network traffic. Attach the monitor to the process, trigger the feature that sends the data, and look for the presence or absence of common cryptographic functions in the call tree. Monitor the network and determine if the data packets contain readable commands. Tools exist for detecting if certain encodings are in use. If the traffic contains high entropy, this might indicate the usage of encryption.",Zero
CWE-359,Architecture_or_Design_Review,"Private personal data can enter a program in a variety of ways: Directly from the user in the form of a password or personal information Accessed from a database or other data store by the application Indirectly from a partner or other third party If the data is written to an external location - such as the console, file system, or network - a privacy violation may occur.",High
CWE-395,Architecture_or_Design_Review,"According to SOAR, the following detection techniques may be useful: Highly cost effective: Formal Methods / Correct-By-Construction Cost effective for partial coverage: Inspection (IEEE 1028 standard) (can apply to requirements, design, source code, etc.)",High
CWE-395,Automated_Static_Analysis_-_Binary_or_Bytecode,"According to SOAR, the following detection techniques may be useful: Cost effective for partial coverage: Bytecode Weakness Analysis - including disassembler + source code weakness analysis Binary Weakness Analysis - including disassembler + source code weakness analysis",SOAR Partial
CWE-395,Automated_Static_Analysis_-_Source_Code,"According to SOAR, the following detection techniques may be useful: Highly cost effective: Source code Weakness Analyzer Context-configured Source Code Weakness Analyzer",High
CWE-395,Dynamic_Analysis_with_Manual_Results_Interpretation,"According to SOAR, the following detection techniques may be useful: Cost effective for partial coverage: Framework-based Fuzzer",SOAR Partial
CWE-395,Manual_Static_Analysis_-_Source_Code,"According to SOAR, the following detection techniques may be useful: Cost effective for partial coverage: Manual Source Code Review (not inspections)",SOAR Partial
CWE-41,Architecture_or_Design_Review,"According to SOAR, the following detection techniques may be useful: Highly cost effective: Formal Methods / Correct-By-Construction Cost effective for partial coverage: Inspection (IEEE 1028 standard) (can apply to requirements, design, source code, etc.)",High
CWE-41,Automated_Static_Analysis_-_Binary_or_Bytecode,"According to SOAR, the following detection techniques may be useful: Cost effective for partial coverage: Bytecode Weakness Analysis - including disassembler + source code weakness analysis",SOAR Partial
CWE-41,Automated_Static_Analysis_-_Source_Code,"According to SOAR, the following detection techniques may be useful: Cost effective for partial coverage: Source code Weakness Analyzer Context-configured Source Code Weakness Analyzer",SOAR Partial
CWE-41,Dynamic_Analysis_with_Automated_Results_Interpretation,"According to SOAR, the following detection techniques may be useful: Cost effective for partial coverage: Web Application Scanner Web Services Scanner Database Scanners",SOAR Partial
CWE-41,Dynamic_Analysis_with_Manual_Results_Interpretation,"According to SOAR, the following detection techniques may be useful: Cost effective for partial coverage: Fuzz Tester Framework-based Fuzzer",SOAR Partial
CWE-41,Manual_Static_Analysis_-_Binary_or_Bytecode,"According to SOAR, the following detection techniques may be useful: Cost effective for partial coverage: Binary / Bytecode disassembler - then use manual analysis for vulnerabilities & anomalies",SOAR Partial
CWE-41,Manual_Static_Analysis_-_Source_Code,"According to SOAR, the following detection techniques may be useful: Highly cost effective: Focused Manual Spotcheck - Focused manual analysis of source Manual Source Code Review (not inspections)",High
CWE-412,White_Box,"Automated code analysis techniques might not be able to reliably detect this weakness, since the application's behavior and general security model dictate which resource locks are critical. Interpretation of the weakness might require knowledge of the environment, e.g. if the existence of a file is used as a lock, but the file is created in a world-writable directory.",Zero
CWE-426,Automated_Static_Analysis,"Use automated static analysis tools that target this type of weakness. Many modern techniques use data flow analysis to minimize the number of false positives. This is not a perfect solution, since 100% accuracy and coverage are not feasible.",Zero
CWE-426,Black_Box,"Use monitoring tools that examine the software's process as it interacts with the operating system and the network. This technique is useful in cases when source code is unavailable, if the software was not developed by you, or if you want to verify that the build phase did not introduce any new weaknesses. Examples include debuggers that directly attach to the running process; system-call tracing utilities such as truss (Solaris) and strace (Linux); system activity monitors such as FileMon, RegMon, Process Monitor, and other Sysinternals utilities (Windows); and sniffers and protocol analyzers that monitor network traffic. Attach the monitor to the process and look for library functions and system calls that suggest when a search path is being used. One pattern is when the program performs multiple accesses of the same file but in different directories, with repeated failures until the proper filename is found. Library calls such as getenv() or their equivalent can be checked to see if any path-related variables are being accessed.",Zero
CWE-426,Manual_Analysis,"Use tools and techniques that require manual (human) analysis, such as penetration testing, threat modeling, and interactive tools that allow the tester to record and modify an active session. These may be more effective than strictly automated techniques. This is especially the case with weaknesses that are related to design and business rules.",Zero
CWE-434,Architecture_or_Design_Review,"According to SOAR, the following detection techniques may be useful: Highly cost effective: Formal Methods / Correct-By-Construction Cost effective for partial coverage: Inspection (IEEE 1028 standard) (can apply to requirements, design, source code, etc.)",High
CWE-434,Automated_Static_Analysis_-_Source_Code,"According to SOAR, the following detection techniques may be useful: Highly cost effective: Source code Weakness Analyzer Context-configured Source Code Weakness Analyzer",High
CWE-434,Dynamic_Analysis_with_Automated_Results_Interpretation,"According to SOAR, the following detection techniques may be useful: Cost effective for partial coverage: Web Application Scanner Web Services Scanner Database Scanners",SOAR Partial
CWE-434,Dynamic_Analysis_with_Manual_Results_Interpretation,"According to SOAR, the following detection techniques may be useful: Cost effective for partial coverage: Fuzz Tester Framework-based Fuzzer",SOAR Partial
CWE-434,Manual_Static_Analysis_-_Source_Code,"According to SOAR, the following detection techniques may be useful: Highly cost effective: Focused Manual Spotcheck - Focused manual analysis of source Manual Source Code Review (not inspections)",High
CWE-476,Automated_Dynamic_Analysis,"This weakness can be detected using dynamic tools and techniques that interact with the software using large test suites with many diverse inputs, such as fuzz testing (fuzzing), robustness testing, and fault injection. The software's operation may slow down, but it should not become unstable, crash, or generate incorrect results.",Moderate
CWE-476,Manual_Dynamic_Analysis,"Identify error conditions that are not likely to occur during normal usage and trigger them. For example, run the program under low memory conditions, run with insufficient privileges or permissions, interrupt a transaction before it is completed, or disable connectivity to basic network services such as DNS. Monitor the software for any unexpected behavior. If you trigger an unhandled exception or similar error that was discovered and handled by the application's environment, it may still indicate unexpected conditions that were not handled by the application itself.",Zero
CWE-477,Architecture_or_Design_Review,"According to SOAR, the following detection techniques may be useful: Highly cost effective: Formal Methods / Correct-By-Construction Inspection (IEEE 1028 standard) (can apply to requirements, design, source code, etc.)",High
CWE-477,Automated_Static_Analysis,"According to SOAR, the following detection techniques may be useful: Highly cost effective: Origin Analysis",High
CWE-477,Automated_Static_Analysis_-_Binary_or_Bytecode,"According to SOAR, the following detection techniques may be useful: Highly cost effective: Binary / Bytecode Quality Analysis Cost effective for partial coverage: Bytecode Weakness Analysis - including disassembler + source code weakness analysis",High
