description,entityURL,generatedAtTime,identifier,invalidatedAtTime,title,definedIn_identifier,satisfiedBy_identifier,dataInsertedBy_identifier,wasAttributedTo_identifier,wasDerivedFrom_identifier,wasGeneratedBy_identifier,wasImpactedBy_identifier,wasRevisionOf_identifier
"Test procedures are correct.",,,T-7-1,,,,,,,,,,
"Analysis of requirements based testing (structural coverage to the level of decision coverage) is achieved.",,,T-7-7,,,,,,,,,,
"Analysis of requirements based testing (data coupling and control coupling) is achieved.",,,T-7-9,,,,,,,,,,
"Analysis of requirements based testing (structural coverage to the level of MC/DC) is achieved.",,,T-7-6,,,,,,,,,,
"Analysis of requirements based testing (structural coverage to the level of statement coverage) is achieved.",,,T-7-8,,,,,,,,,,
"Output of tool integration process is complete and correct.",,,T-5-7,,,,,,,,,,
"Source Code is accurate and consistent.",,,T-5-6,,,,,,,,,,
"Tool Source Code is traceable to low-level tool requirements.",,,T-5-5,,,,,,,,,,
"Tool Source Code conforms to Tool Code Standards.",,,T-5-4,,,,,,,,,,
"Tool Source Code is verifiable.",,,T-5-3,,,,,,,,,,
"Tool Source Code complies with tool architecture.",,,T-5-2,,,,,,,,,,
"Tool Source Code complies with low-level tool requirements.",,,T-5-1,,,,,,,,,,
"Tool Requirements define the behavior of the tool in response to error conditions.",,,T-3-4,,,,,,,,,,
"Tool Requirements comply with Tool Operational Requirements.",,,T-3-1,,,,,,,,,,
"Tool Requirements are accurate and consistent.",,,T-3-2,,,,,,,,,,
"Tool Requirements are traceable to Tool Operational Requirements.",,,T-3-8,,,,,,,,,,
"Algorithms are accurate.",,,T-3-9,,,,,,,,,,
"Tool Requirements define user instructions and error messages.",,,T-3-5,,,,,,,,,,
"Tool Requirements conform to Tool Requirements Standards.",,,T-3-7,,,,,,,,,,
"Requirements for compatibility with the tool operational environment are defined.",,,T-3-3,,,,,,,,,,
"Tool Requirements are verifiable.",,,T-3-6,,,,,,,,,,
"Tool life cycle environment control is established.",,,T-8-5,,,,,,,,,,
"Archive, retrieval, and release are established.",,,T-8-4,,,,,,,,,,
"Problem reporting, change control, change review, and configuration status accounting are established.",,,T-8-3,,,,,,,,,,
"Baselines and traceability are established.",,,T-8-2,,,,,,,,,,
"Configuration items are identified.",,,T-8-1,,,,,,,,,,
"Tool Executable Object Code is robust with low-level tool requirements.",,,T-6-4,,,,,,,,,,
"Tool Executable Object Code complies with low-level tool requirements.",,,T-6-3,,,,,,,,,,
"Tool Executable Object Code is robust with Tool Requirements.",,,T-6-2,,,,,,,,,,
"Tool Executable Object Code complies with Tool Requirements.",,,T-6-1,,,,,,,,,,
"Low-level tool requirements are accurate and consistent.",,,T-4-2,,,,,,,,,,
"Tool architecture is compatible with Tool Requirements.",,,T-4-7,,,,,,,,,,
"Low-level tool requirements are verifiable.",,,T-4-3,,,,,,,,,,
"Tool architecture is consistent.",,,T-4-8,,,,,,,,,,
"Algorithms are accurate.",,,T-4-6,,,,,,,,,,
"Protection mechanisms, if used, are confirmed.",,,T-4-10,,,,,,,,,,
"Low-Level Tool requirements comply with Tool Requirements.",,,T-4-1,,,,,,,,,,
"Low-level tool requirements conform to Tool Design Standards.",,,T-4-4,,,,,,,,,,
"Tool architecture conforms to Tool Design Standards.",,,T-4-9,,,,,,,,,,
"External component interface is correctly and completely defined.",,,T-4-11,,,,,,,,,,
"Low-level tool requirements are traceable to Tool Requirements.",,,T-4-5,,,,,,,,,,
"Development and revision of tool plans are coordinated.",,,T-1-7,,,,,,,,,,
"Tool plans comply with this document.",,,T-1-6,,,,,,,,,,
"Tool development standards are defined.",,,T-1-5,,,,,,,,,,
"Additional considerations are addressed.",,,T-1-4,,,,,,,,,,
"Tool development environment is selected and defined.",,,T-1-3,,,,,,,,,,
"Transition criteria, inter-relationships, and sequencing among processes of tool processes are defined.",,,T-1-2,,,,,,,,,,
"Tool development and integral processes are defined.",,,T-1-1,,,,,,,,,,
