source,identifier,title,description
ACERT,CWE-5,CWE-5 (J2EE Misconfiguration: Data Transmission Without Encryption) is present in a module,Information sent over a network can be compromised while in transit. An attacker may be able to read or modify the contents if the data are sent in plaintext or are weakly encrypted.
ACERT,CWE-6,CWE-6 (J2EE Misconfiguration: Insufficient Session-ID Length) is present in a module,The J2EE application is configured to use an insufficient session ID length.
ACERT,CWE-7,CWE-7 (J2EE Misconfiguration: Missing Custom Error Page) is present in a module,The default error page of a web application should not display sensitive information about the software system.
ACERT,CWE-8,CWE-8 (J2EE Misconfiguration: Entity Bean Declared Remote) is present in a module,"When an application exposes a remote interface for an entity bean, it might also expose methods that get or set the bean's data. These methods could be leveraged to read sensitive information, or to change data in ways that violate the application's expectations, potentially leading to other vulnerabilities."
ACERT,CWE-9,CWE-9 (J2EE Misconfiguration: Weak Access Permissions for EJB Methods) is present in a module,"If elevated access rights are assigned to EJB methods, then an attacker can take advantage of the permissions to exploit the software system."
ACERT,CWE-11,CWE-11 (ASP.NET Misconfiguration: Creating Debug Binary) is present in a module,Debugging messages help attackers learn about the system and plan a form of attack.
ACERT,CWE-12,CWE-12 (ASP.NET Misconfiguration: Missing Custom Error Page) is present in a module,An ASP .NET application must enable custom error pages in order to prevent attackers from mining information from the framework's built-in responses.
ACERT,CWE-13,CWE-13 (ASP.NET Misconfiguration: Password in Configuration File) is present in a module,Storing a plaintext password in a configuration file allows anyone who can read the file access to the password-protected resource making them an easy target for attackers.
ACERT,CWE-14,CWE-14 (Compiler Removal of Code to Clear Buffers) is present in a module,"Sensitive memory is cleared according to the source code, but compiler optimizations leave the memory untouched when it is not read from again, aka dead store removal."
ACERT,CWE-15,CWE-15 (External Control of System or Configuration Setting) is present in a module,One or more system settings or configuration elements can be externally controlled by a user.
ACERT,CWE-20,CWE-20 (Improper Input Validation) is present in a module,"The product receives input or data, but it does not validate or incorrectly validates that the input has the properties that are required to process the data safely and correctly."
ACERT,CWE-22,CWE-22 (Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')) is present in a module,"The software uses external input to construct a pathname that is intended to identify a file or directory that is located underneath a restricted parent directory, but the software does not properly neutralize special elements within the pathname that can cause the pathname to resolve to a location that is outside of the restricted directory."
ACERT,CWE-23,CWE-23 (Relative Path Traversal) is present in a module,"The software uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize sequences such as .. that can resolve to a location that is outside of that directory."
ACERT,CWE-24,CWE-24 (Path Traversal: '../filedir') is present in a module,"The software uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize ../ sequences that can resolve to a location that is outside of that directory."
ACERT,CWE-25,CWE-25 (Path Traversal: '/../filedir') is present in a module,"The software uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize /../ sequences that can resolve to a location that is outside of that directory."
ACERT,CWE-26,CWE-26 (Path Traversal: '/dir/../filename') is present in a module,"The software uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize /dir/../filename sequences that can resolve to a location that is outside of that directory."
ACERT,CWE-27,CWE-27 (Path Traversal: 'dir/../../filename') is present in a module,"The software uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize multiple internal ../ sequences that can resolve to a location that is outside of that directory."
ACERT,CWE-28,CWE-28 (Path Traversal: '..filedir') is present in a module,"The software uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize .. sequences that can resolve to a location that is outside of that directory."
ACERT,CWE-29,CWE-29 (Path Traversal: '..filename') is present in a module,"The software uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize '..filename' (leading backslash dot dot) sequences that can resolve to a location that is outside of that directory."
ACERT,CWE-30,CWE-30 (Path Traversal: 'dir..filename') is present in a module,"The software uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize 'dir..filename' (leading backslash dot dot) sequences that can resolve to a location that is outside of that directory."
ACERT,CWE-31,CWE-31 (Path Traversal: 'dir....filename') is present in a module,"The software uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize 'dir....filename' (multiple internal backslash dot dot) sequences that can resolve to a location that is outside of that directory."
ACERT,CWE-32,CWE-32 (Path Traversal: '...' (Triple Dot)) is present in a module,"The software uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize '...' (triple dot) sequences that can resolve to a location that is outside of that directory."
ACERT,CWE-33,CWE-33 (Path Traversal: '....' (Multiple Dot)) is present in a module,"The software uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize '....' (multiple dot) sequences that can resolve to a location that is outside of that directory."
ACERT,CWE-34,CWE-34 (Path Traversal: '....//') is present in a module,"The software uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize '....//' (doubled dot dot slash) sequences that can resolve to a location that is outside of that directory."
ACERT,CWE-35,CWE-35 (Path Traversal: '.../...//') is present in a module,"The software uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize '.../...//' (doubled triple dot slash) sequences that can resolve to a location that is outside of that directory."
ACERT,CWE-36,CWE-36 (Absolute Path Traversal) is present in a module,"The software uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize absolute path sequences such as /abs/path that can resolve to a location that is outside of that directory."
ACERT,CWE-37,CWE-37 (Path Traversal: '/absolute/pathname/here') is present in a module,A software system that accepts input in the form of a slash absolute path ('/absolute/pathname/here') without appropriate validation can allow an attacker to traverse the file system to unintended locations or access arbitrary files.
ACERT,CWE-38,CWE-38 (Path Traversal: 'absolutepathnamehere') is present in a module,A software system that accepts input in the form of a backslash absolute path ('absolutepathnamehere') without appropriate validation can allow an attacker to traverse the file system to unintended locations or access arbitrary files.
ACERT,CWE-39,CWE-39 (Path Traversal: 'C:dirname') is present in a module,An attacker can inject a drive letter or Windows volume letter ('C:dirname') into a software system to potentially redirect access to an unintended location or arbitrary file.
ACERT,CWE-40,CWE-40 (Path Traversal: 'UNCsharename' (Windows UNC Share)) is present in a module,An attacker can inject a Windows UNC share ('UNCsharename') into a software system to potentially redirect access to an unintended location or arbitrary file.
ACERT,CWE-41,CWE-41 (Improper Resolution of Path Equivalence) is present in a module,The system or application is vulnerable to file system contents disclosure through path equivalence. Path equivalence involves the use of special characters in file and directory names. The associated manipulations are intended to generate multiple names for the same object.
ACERT,CWE-42,CWE-42 (Path Equivalence: 'filename.' (Trailing Dot)) is present in a module,A software system that accepts path input in the form of trailing dot ('filedir.') without appropriate validation can lead to ambiguous path resolution and allow an attacker to traverse the file system to unintended locations or access arbitrary files.
ACERT,CWE-43,CWE-43 (Path Equivalence: 'filename....' (Multiple Trailing Dot)) is present in a module,A software system that accepts path input in the form of multiple trailing dot ('filedir....') without appropriate validation can lead to ambiguous path resolution and allow an attacker to traverse the file system to unintended locations or access arbitrary files.
ACERT,CWE-44,CWE-44 (Path Equivalence: 'file.name' (Internal Dot)) is present in a module,A software system that accepts path input in the form of internal dot ('file.ordir') without appropriate validation can lead to ambiguous path resolution and allow an attacker to traverse the file system to unintended locations or access arbitrary files.
ACERT,CWE-45,CWE-45 (Path Equivalence: 'file...name' (Multiple Internal Dot)) is present in a module,A software system that accepts path input in the form of multiple internal dot ('file...dir') without appropriate validation can lead to ambiguous path resolution and allow an attacker to traverse the file system to unintended locations or access arbitrary files.
ACERT,CWE-46,CWE-46 (Path Equivalence: 'filename ' (Trailing Space)) is present in a module,A software system that accepts path input in the form of trailing space ('filedir ') without appropriate validation can lead to ambiguous path resolution and allow an attacker to traverse the file system to unintended locations or access arbitrary files.
ACERT,CWE-47,CWE-47 (Path Equivalence: ' filename' (Leading Space)) is present in a module,A software system that accepts path input in the form of leading space (' filedir') without appropriate validation can lead to ambiguous path resolution and allow an attacker to traverse the file system to unintended locations or access arbitrary files.
ACERT,CWE-48,CWE-48 (Path Equivalence: 'file name' (Internal Whitespace)) is present in a module,A software system that accepts path input in the form of internal space ('file(SPACE)name') without appropriate validation can lead to ambiguous path resolution and allow an attacker to traverse the file system to unintended locations or access arbitrary files.
ACERT,CWE-49,CWE-49 (Path Equivalence: 'filename/' (Trailing Slash)) is present in a module,A software system that accepts path input in the form of trailing slash ('filedir/') without appropriate validation can lead to ambiguous path resolution and allow an attacker to traverse the file system to unintended locations or access arbitrary files.
ACERT,CWE-50,CWE-50 (Path Equivalence: '//multiple/leading/slash') is present in a module,A software system that accepts path input in the form of multiple leading slash ('//multiple/leading/slash') without appropriate validation can lead to ambiguous path resolution and allow an attacker to traverse the file system to unintended locations or access arbitrary files.
ACERT,CWE-51,CWE-51 (Path Equivalence: '/multiple//internal/slash') is present in a module,A software system that accepts path input in the form of multiple internal slash ('/multiple//internal/slash/') without appropriate validation can lead to ambiguous path resolution and allow an attacker to traverse the file system to unintended locations or access arbitrary files.
ACERT,CWE-52,CWE-52 (Path Equivalence: '/multiple/trailing/slash//') is present in a module,A software system that accepts path input in the form of multiple trailing slash ('/multiple/trailing/slash//') without appropriate validation can lead to ambiguous path resolution and allow an attacker to traverse the file system to unintended locations or access arbitrary files.
ACERT,CWE-53,CWE-53 (Path Equivalence: 'multipleinternalbackslash') is present in a module,A software system that accepts path input in the form of multiple internal backslash ('multipletrailingslash') without appropriate validation can lead to ambiguous path resolution and allow an attacker to traverse the file system to unintended locations or access arbitrary files.
ACERT,CWE-54,CWE-54 (Path Equivalence: 'filedir' (Trailing Backslash)) is present in a module,A software system that accepts path input in the form of trailing backslash ('filedir') without appropriate validation can lead to ambiguous path resolution and allow an attacker to traverse the file system to unintended locations or access arbitrary files.
ACERT,CWE-55,CWE-55 (Path Equivalence: '/./' (Single Dot Directory)) is present in a module,A software system that accepts path input in the form of single dot directory exploit ('/./') without appropriate validation can lead to ambiguous path resolution and allow an attacker to traverse the file system to unintended locations or access arbitrary files.
ACERT,CWE-56,CWE-56 (Path Equivalence: 'filedir*' (Wildcard)) is present in a module,A software system that accepts path input in the form of asterisk wildcard ('filedir*') without appropriate validation can lead to ambiguous path resolution and allow an attacker to traverse the file system to unintended locations or access arbitrary files.
ACERT,CWE-57,CWE-57 (Path Equivalence: 'fakedir/../realdir/filename') is present in a module,"The software contains protection mechanisms to restrict access to 'realdir/filename', but it constructs pathnames using external input in the form of 'fakedir/../realdir/filename' that are not handled by those mechanisms. This allows attackers to perform unauthorized actions against the targeted file."
ACERT,CWE-58,CWE-58 (Path Equivalence: Windows 8.3 Filename) is present in a module,"The software contains a protection mechanism that restricts access to a long filename on a Windows operating system, but the software does not properly restrict access to the equivalent short 8.3 filename."
ACERT,CWE-59,CWE-59 (Improper Link Resolution Before File Access ('Link Following')) is present in a module,"The software attempts to access a file based on the filename, but it does not properly prevent that filename from identifying a link or shortcut that resolves to an unintended resource."
ACERT,CWE-61,CWE-61 (UNIX Symbolic Link (Symlink) Following) is present in a module,"The software, when opening a file or directory, does not sufficiently account for when the file is a symbolic link that resolves to a target outside of the intended control sphere. This could allow an attacker to cause the software to operate on unauthorized files."
ACERT,CWE-62,CWE-62 (UNIX Hard Link) is present in a module,"The software, when opening a file or directory, does not sufficiently account for when the name is associated with a hard link to a target that is outside of the intended control sphere. This could allow an attacker to cause the software to operate on unauthorized files."
ACERT,CWE-64,CWE-64 (Windows Shortcut Following (.LNK)) is present in a module,"The software, when opening a file or directory, does not sufficiently handle when the file is a Windows shortcut (.LNK) whose target is outside of the intended control sphere. This could allow an attacker to cause the software to operate on unauthorized files."
ACERT,CWE-65,CWE-65 (Windows Hard Link) is present in a module,"The software, when opening a file or directory, does not sufficiently handle when the name is associated with a hard link to a target that is outside of the intended control sphere. This could allow an attacker to cause the software to operate on unauthorized files."
ACERT,CWE-66,CWE-66 (Improper Handling of File Names that Identify Virtual Resources) is present in a module,"The product does not handle or incorrectly handles a file name that identifies a virtual resource that is not directly specified within the directory that is associated with the file name, causing the product to perform file-based operations on a resource that is not a file."
ACERT,CWE-67,CWE-67 (Improper Handling of Windows Device Names) is present in a module,"The software constructs pathnames from user input, but it does not handle or incorrectly handles a pathname containing a Windows device name such as AUX or CON. This typically leads to denial of service or an information exposure when the application attempts to process the pathname as a regular file."
ACERT,CWE-69,CWE-69 (Improper Handling of Windows ::DATA Alternate Data Stream) is present in a module,"The software does not properly prevent access to, or detect usage of, alternate data streams (ADS)."
ACERT,CWE-72,CWE-72 (Improper Handling of Apple HFS+ Alternate Data Stream Path) is present in a module,The software does not properly handle special paths that may identify the data or resource fork of a file on the HFS+ file system.
ACERT,CWE-73,CWE-73 (External Control of File Name or Path) is present in a module,The software allows user input to control or influence paths or file names that are used in filesystem operations.
ACERT,CWE-74,CWE-74 (Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection')) is present in a module,"The software constructs all or part of a command, data structure, or record using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify how it is parsed or interpreted when it is sent to a downstream component."
ACERT,CWE-75,CWE-75 (Failure to Sanitize Special Elements into a Different Plane (Special Element Injection)) is present in a module,The software does not adequately filter user-controlled input for special elements with control implications.
ACERT,CWE-76,CWE-76 (Improper Neutralization of Equivalent Special Elements) is present in a module,"The software properly neutralizes certain special elements, but it improperly neutralizes equivalent special elements."
ACERT,CWE-77,CWE-77 (Improper Neutralization of Special Elements used in a Command ('Command Injection')) is present in a module,"The software constructs all or part of a command using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the intended command when it is sent to a downstream component."
ACERT,CWE-78,CWE-78 (Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection')) is present in a module,"The software constructs all or part of an OS command using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the intended OS command when it is sent to a downstream component."
ACERT,CWE-79,CWE-79 (Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')) is present in a module,The software does not neutralize or incorrectly neutralizes user-controllable input before it is placed in output that is used as a web page that is served to other users.
ACERT,CWE-80,CWE-80 (Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS)) is present in a module,"The software receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special characters such as <, >, and & that could be interpreted as web-scripting elements when they are sent to a downstream component that processes web pages."
ACERT,CWE-81,CWE-81 (Improper Neutralization of Script in an Error Message Web Page) is present in a module,"The software receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special characters that could be interpreted as web-scripting elements when they are sent to an error page."
ACERT,CWE-82,CWE-82 (Improper Neutralization of Script in Attributes of IMG Tags in a Web Page) is present in a module,"The web application does not neutralize or incorrectly neutralizes scripting elements within attributes of HTML IMG tags, such as the src attribute."
ACERT,CWE-83,CWE-83 (Improper Neutralization of Script in Attributes in a Web Page) is present in a module,"The software does not neutralize or incorrectly neutralizes javascript: or other URIs from dangerous attributes within tags, such as onmouseover, onload, onerror, or style."
ACERT,CWE-84,CWE-84 (Improper Neutralization of Encoded URI Schemes in a Web Page) is present in a module,The web application improperly neutralizes user-controlled input for executable script disguised with URI encodings.
ACERT,CWE-85,CWE-85 (Doubled Character XSS Manipulations) is present in a module,The web application does not filter user-controlled input for executable script disguised using doubling of the involved characters.
ACERT,CWE-86,CWE-86 (Improper Neutralization of Invalid Characters in Identifiers in Web Pages) is present in a module,"The software does not neutralize or incorrectly neutralizes invalid characters or byte sequences in the middle of tag names, URI schemes, and other identifiers."
ACERT,CWE-87,CWE-87 (Improper Neutralization of Alternate XSS Syntax) is present in a module,The software does not neutralize or incorrectly neutralizes user-controlled input for alternate script syntax.
ACERT,CWE-88,CWE-88 (Improper Neutralization of Argument Delimiters in a Command ('Argument Injection')) is present in a module,"The software constructs a string for a command to executed by a separate component in another control sphere, but it does not properly delimit the intended arguments, options, or switches within that command string."
ACERT,CWE-89,CWE-89 (Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection')) is present in a module,"The software constructs all or part of an SQL command using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the intended SQL command when it is sent to a downstream component."
ACERT,CWE-90,CWE-90 (Improper Neutralization of Special Elements used in an LDAP Query ('LDAP Injection')) is present in a module,"The software constructs all or part of an LDAP query using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the intended LDAP query when it is sent to a downstream component."
ACERT,CWE-91,CWE-91 (XML Injection (aka Blind XPath Injection)) is present in a module,"The software does not properly neutralize special elements that are used in XML, allowing attackers to modify the syntax, content, or commands of the XML before it is processed by an end system."
ACERT,CWE-93,CWE-93 (Improper Neutralization of CRLF Sequences ('CRLF Injection')) is present in a module,"The software uses CRLF (carriage return line feeds) as a special element, e.g. to separate lines or records, but it does not neutralize or incorrectly neutralizes CRLF sequences from inputs."
ACERT,CWE-94,CWE-94 (Improper Control of Generation of Code ('Code Injection')) is present in a module,"The software constructs all or part of a code segment using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the syntax or behavior of the intended code segment."
ACERT,CWE-95,CWE-95 (Improper Neutralization of Directives in Dynamically Evaluated Code ('Eval Injection')) is present in a module,"The software receives input from an upstream component, but it does not neutralize or incorrectly neutralizes code syntax before using the input in a dynamic evaluation call (e.g. eval)."
ACERT,CWE-96,CWE-96 (Improper Neutralization of Directives in Statically Saved Code ('Static Code Injection')) is present in a module,"The software receives input from an upstream component, but it does not neutralize or incorrectly neutralizes code syntax before inserting the input into an executable resource, such as a library, configuration file, or template."
ACERT,CWE-97,CWE-97 (Improper Neutralization of Server-Side Includes (SSI) Within a Web Page) is present in a module,"The software generates a web page, but does not neutralize or incorrectly neutralizes user-controllable input that could be interpreted as a server-side include (SSI) directive."
ACERT,CWE-98,CWE-98 (Improper Control of Filename for Include/Require Statement in PHP Program ('PHP Remote File Inclusion')) is present in a module,"The PHP application receives input from an upstream component, but it does not restrict or incorrectly restricts the input before its usage in require, include, or similar functions."
ACERT,CWE-99,CWE-99 (Improper Control of Resource Identifiers ('Resource Injection')) is present in a module,"The software receives input from an upstream component, but it does not restrict or incorrectly restricts the input before it is used as an identifier for a resource that may be outside the intended sphere of control."
ACERT,CWE-102,CWE-102 (Struts: Duplicate Validation Forms) is present in a module,"The application uses multiple validation forms with the same name, which might cause the Struts Validator to validate a form that the programmer does not expect."
ACERT,CWE-103,CWE-103 (Struts: Incomplete validate() Method Definition) is present in a module,"The application has a validator form that either does not define a validate() method, or defines a validate() method but does not call super.validate()."
ACERT,CWE-104,CWE-104 (Struts: Form Bean Does Not Extend Validation Class) is present in a module,"If a form bean does not extend an ActionForm subclass of the Validator framework, it can expose the application to other weaknesses related to insufficient input validation."
ACERT,CWE-105,CWE-105 (Struts: Form Field Without Validator) is present in a module,"The application has a form field that is not validated by a corresponding validation form, which can introduce other weaknesses related to insufficient input validation."
ACERT,CWE-106,CWE-106 (Struts: Plug-in Framework not in Use) is present in a module,"When an application does not use an input validation framework such as the Struts Validator, there is a greater risk of introducing weaknesses related to insufficient input validation."
ACERT,CWE-107,CWE-107 (Struts: Unused Validation Form) is present in a module,An unused validation form indicates that validation logic is not up-to-date.
