description,entityURL,generatedAtTime,identifier,invalidatedAtTime,title,definedIn_identifier,content_identifier,dataInsertedBy_identifier,wasAttributedTo_identifier,wasDerivedFrom_identifier,wasGeneratedBy_identifier,wasImpactedBy_identifier,wasRevisionOf_identifier
,,,A-4,,Verification of Outputs of Software Design Process,,A-4-12,,,,,,
,,,A-4,,Verification of Outputs of Software Design Process,,A-4-13,,,,,,
,,,A-5,,Verification of Outputs of Software Coding & Integration Processes,,A-5-1,,,,,,
,,,A-5,,Verification of Outputs of Software Coding & Integration Processes,,A-5-2,,,,,,
,,,A-5,,Verification of Outputs of Software Coding & Integration Processes,,A-5-3,,,,,,
,,,A-5,,Verification of Outputs of Software Coding & Integration Processes,,A-5-4,,,,,,
,,,A-5,,Verification of Outputs of Software Coding & Integration Processes,,A-5-5,,,,,,
,,,A-5,,Verification of Outputs of Software Coding & Integration Processes,,A-5-6,,,,,,
,,,A-5,,Verification of Outputs of Software Coding & Integration Processes,,A-5-7,,,,,,
,,,A-5,,Verification of Outputs of Software Coding & Integration Processes,,A-5-8,,,,,,
,,,A-5,,Verification of Outputs of Software Coding & Integration Processes,,A-5-9,,,,,,
,,,A-6,,Verification of Outputs of Integration Process,,A-6-1,,,,,,
,,,A-6,,Verification of Outputs of Integration Process,,A-6-2,,,,,,
,,,A-6,,Verification of Outputs of Integration Process,,A-6-3,,,,,,
,,,A-6,,Verification of Outputs of Integration Process,,A-6-4,,,,,,
,,,A-6,,Verification of Outputs of Integration Process,,A-6-5,,,,,,
,,,A-7,,Verification of Verification Process Results,,A-7-1,,,,,,
,,,A-7,,Verification of Verification Process Results,,A-7-2,,,,,,
,,,A-7,,Verification of Verification Process Results,,A-7-3,,,,,,
,,,A-7,,Verification of Verification Process Results,,A-7-4,,,,,,
,,,A-7,,Verification of Verification Process Results,,A-7-5,,,,,,
,,,A-7,,Verification of Verification Process Results,,A-7-6,,,,,,
,,,A-7,,Verification of Verification Process Results,,A-7-7,,,,,,
,,,A-7,,Verification of Verification Process Results,,A-7-8,,,,,,
,,,A-7,,Verification of Verification Process Results,,A-7-9,,,,,,
,,,A-8,,Software Configuration Management Process,,A-8-1,,,,,,
,,,A-8,,Software Configuration Management Process,,A-8-2,,,,,,
,,,A-8,,Software Configuration Management Process,,A-8-3,,,,,,
,,,A-8,,Software Configuration Management Process,,A-8-4,,,,,,
,,,A-8,,Software Configuration Management Process,,A-8-5,,,,,,
,,,A-8,,Software Configuration Management Process,,A-8-6,,,,,,
,,,A-9,,Software Quality Assurance Process,,A-9-1,,,,,,
,,,A-9,,Software Quality Assurance Process,,A-9-2,,,,,,
,,,A-9,,Software Quality Assurance Process,,A-9-3,,,,,,
,,,A-9,,Software Quality Assurance Process,,A-9-4,,,,,,
,,,A-9,,Software Quality Assurance Process,,A-9-5,,,,,,
,,,A-10,,Certification Liaison Process,,A-10-1,,,,,,
,,,A-10,,Certification Liaison Process,,A-10-2,,,,,,
,,,A-10,,Certification Liaison Process,,A-10-3,,,,,,
,,,DO-178C-AnnexA,,PROCESS OBJECTIVES AND OUTPUTS BY SOFTWARE LEVEL,,A-1,,,,,,
,,,DO-178C-AnnexA,,PROCESS OBJECTIVES AND OUTPUTS BY SOFTWARE LEVEL,,A-2,,,,,,
,,,DO-178C-AnnexA,,PROCESS OBJECTIVES AND OUTPUTS BY SOFTWARE LEVEL,,A-3,,,,,,
,,,DO-178C-AnnexA,,PROCESS OBJECTIVES AND OUTPUTS BY SOFTWARE LEVEL,,A-4,,,,,,
,,,DO-178C-AnnexA,,PROCESS OBJECTIVES AND OUTPUTS BY SOFTWARE LEVEL,,A-5,,,,,,
,,,DO-178C-AnnexA,,PROCESS OBJECTIVES AND OUTPUTS BY SOFTWARE LEVEL,,A-6,,,,,,
,,,DO-178C-AnnexA,,PROCESS OBJECTIVES AND OUTPUTS BY SOFTWARE LEVEL,,A-7,,,,,,
,,,DO-178C-AnnexA,,PROCESS OBJECTIVES AND OUTPUTS BY SOFTWARE LEVEL,,A-8,,,,,,
,,,DO-178C-AnnexA,,PROCESS OBJECTIVES AND OUTPUTS BY SOFTWARE LEVEL,,A-9,,,,,,
,,,DO-178C-AnnexA,,PROCESS OBJECTIVES AND OUTPUTS BY SOFTWARE LEVEL,,A-10,,,,,,
